age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
41,Never-worked,156105,Prof-school,5,Married-spouse-absent,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,4397,0,54,Iran
67,Self-emp-not-inc,350376,Prof-school,7,Widowed,Transport-moving,Other-relative,Black,Male,0,0,38,Germany
54,Local-gov,274063,Prof-school,14,Never-married,Handlers-cleaners,Wife,Black,Male,0,0,50,Puerto-Rico
31,State-gov,78158,9th,9,Divorced,Exec-managerial,Husband,Black,Female,4378,0,23,Mexico
32,Self-emp-inc,286245,Some-college,6,Married-spouse-absent,Priv-house-serv,Wife,Black,Male,0,618,32,?
55,Local-gov,126150,1st-4th,10,Never-married,Craft-repair,Own-child,Other,Female,0,900,32,Portugal
27,Self-emp-not-inc,270459,12th,8,Divorced,Priv-house-serv,Own-child,Asian-Pac-Islander,Male,8712,275,27,Mexico
55,Never-worked,65776,Some-college,8,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,6062,85,39,Columbia
33,State-gov,101800,Prof-school,8,Separated,Other-service,Unmarried,Black,Female,0,355,34,Laos
37,Local-gov,168730,Preschool,8,Widowed,Sales,Wife,Black,Female,0,0,44,Nicaragua
31,Private,231562,HS-grad,9,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,3782,508,70,United-States
46,?,406098,Doctorate,7,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,171,41,United-States
33,Federal-gov,248024,7th-8th,7,Separated,Priv-house-serv,Other-relative,White,Female,16031,491,35,Ireland
31,?,68308,Prof-school,12,Married-spouse-absent,Transport-moving,Wife,White,Male,0,0,37,Italy
28,Federal-gov,100003,1st-4th,5,Separated,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,57,67,Peru
30,Self-emp-not-inc,225659,HS-grad,9,Separated,Tech-support,Own-child,Black,Male,0,0,53,Dominican-Republic
40,Local-gov,72147,7th-8th,8,Divorced,Prof-specialty,Other-relative,Black,Female,0,0,34,England
13,Self-emp-inc,303017,Preschool,9,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,4076,306,53,Iran
23,Local-gov,238595,5th-6th,15,Separated,Adm-clerical,Husband,Other,Female,7290,388,58,Laos
38,Never-worked,114620,5th-6th,12,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,6087,0,22,Columbia
65,Federal-gov,297000,Assoc-voc,10,Married-spouse-absent,Exec-managerial,Wife,Black,Male,0,322,42,Laos
54,Self-emp-inc,127954,7th-8th,9,Married-AF-spouse,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,1049,128,48,Greece
24,Without-pay,184362,12th,11,Widowed,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,27,50,Ireland
10,Federal-gov,80825,Assoc-voc,10,Widowed,?,Not-in-family,Other,Male,0,739,19,Trinadad&Tobago
30,Self-emp-not-inc,105049,Bachelors,16,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,1067,0,47,Vietnam
32,State-gov,64420,Masters,12,Separated,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,0,23,El-Salvador
24,Local-gov,60631,10th,7,Separated,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Female,0,863,23,Mexico
36,?,263329,Doctorate,12,Never-married,Other-service,Own-child,Black,Female,0,0,37,Thailand
49,State-gov,159180,Assoc-acdm,9,Married-spouse-absent,Handlers-cleaners,Wife,Black,Male,0,480,17,Haiti
32,Self-emp-not-inc,234329,Prof-school,9,Widowed,Prof-specialty,Own-child,White,Male,1936,148,46,Trinadad&Tobago
22,Never-worked,165028,10th,11,Never-married,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,5574,0,18,Ecuador
23,Self-emp-inc,231287,12th,13,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,417,56,Taiwan
